Ich lese gerne Bücher.;Lubię czytać książki.
Gestern las sie die Zeitung.;Wczoraj czytała gazetę.
Sie hat viele Bücher gelesen.;Ona przeczytała wiele książek.
Das Buch liegt auf dem Tisch.;Książka leży na stole.
Gestern lag er im Bett.;Wczoraj leżał w łóżku.
Die Schlüssel haben lange Zeit auf dem Regal gelegen.;Klucze długo czasu leżały na półce.
Ich lüge nie.;Nigdy nie kłamię.
Gestern log er über seinen Aufenthaltsort.;Wczoraj kłamał co do swojego miejsca pobytu.
Sie hat oft gelogen.;Ona często kłamała.
Ich messe die Länge des Raumes.;Mierzę długość pokoju.
Gestern maß er die Temperatur.;Wczoraj zmierzył temperaturę.
Sie haben die Abstände genau gemessen.;Zmierzyli dokładnie odległości.
Ich mag Pizza.;Lubię pizzę.
Gestern mochte er das Essen nicht.;Wczoraj nie lubił jedzenia.
Sie hat immer Gemüse gemocht.;Zawsze lubiła warzywa.
Ich muss zur Arbeit gehen.;Muszę iść do pracy.
Gestern musste sie zum Arzt.;Wczoraj musiała pójść do lekarza.
Sie haben viel lernen müssen.;Musieli dużo się nauczyć.
Ich denke oft über die Zukunft nach.;Często zastanawiam się nad przyszłością.
Gestern dachte er lange über die Entscheidung nach.;Wczoraj długo zastanawiał się nad decyzją.
Sie haben darüber nachgedacht, wie sie das Problem lösen können.;Myśleli, jak mogą rozwiązać ten problem.
